run_ts_ist,location,lat,lon,line,obs_time,precip_mm,rain_mm,source
2026-06-25 00:57:31,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
2026-06-25 00:57:31,Virar,19.455,72.811,WR,2026-06-25T00:45,0.0,0.0,open-meteo
2026-06-25 00:57:31,CSMT,18.94,72.835,CR,2026-06-25T00:45,0.1,0.1,open-meteo
2026-06-25 00:57:31,Sion,19.043,72.862,CR-hotspot,2026-06-25T00:45,0.1,0.1,open-meteo
2026-06-25 00:57:31,Kurla,19.065,72.879,CR-hotspot,2026-06-25T00:45,0.1,0.1,open-meteo
2026-06-25 00:57:31,Thane,19.186,72.975,CR,,,,open-meteo-ERR
2026-06-25 00:57:31,Kalyan,19.243,73.13,CR,2026-06-25T01:00,0.0,0.0,open-meteo
2026-06-25 00:57:31,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-25T01:00,0.1,0.1,open-meteo
2026-06-25 00:57:31,Matunga,19.027,72.852,CR-hotspot,2026-06-25T01:00,0.1,0.1,open-meteo
2026-06-25 02:39:26,Churchgate,18.935,72.827,WR,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 02:39:26,Dadar,19.018,72.844,WR/CR,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 02:39:26,Andheri,19.119,72.846,WR,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 02:39:26,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
2026-06-25 02:39:26,Virar,19.455,72.811,WR,2026-06-25T02:30,0.0,0.0,open-meteo
2026-06-25 02:39:26,CSMT,18.94,72.835,CR,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 02:39:26,Sion,19.043,72.862,CR-hotspot,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 02:39:26,Kurla,19.065,72.879,CR-hotspot,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 02:39:26,Thane,19.186,72.975,CR,,,,open-meteo-ERR
2026-06-25 02:39:26,Kalyan,19.243,73.13,CR,2026-06-25T02:30,0.0,0.0,open-meteo
2026-06-25 02:39:26,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 02:39:26,Matunga,19.027,72.852,CR-hotspot,2026-06-25T02:30,0.1,0.1,open-meteo
2026-06-25 04:17:33,Churchgate,18.935,72.827,WR,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Dadar,19.018,72.844,WR/CR,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Andheri,19.119,72.846,WR,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Borivali,19.231,72.857,WR,2026-06-25T04:15,0.1,0.1,open-meteo
2026-06-25 04:17:33,Virar,19.455,72.811,WR,,,,open-meteo-ERR
2026-06-25 04:17:33,CSMT,18.94,72.835,CR,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Sion,19.043,72.862,CR-hotspot,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Kurla,19.065,72.879,CR-hotspot,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Thane,19.186,72.975,CR,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Kalyan,19.243,73.13,CR,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 04:17:33,Chunnabhatti,19.046,72.875,Harbour-hotspot,,,,open-meteo-ERR
2026-06-25 04:17:33,Matunga,19.027,72.852,CR-hotspot,2026-06-25T04:15,0.0,0.0,open-meteo
2026-06-25 05:30:30,Churchgate,18.935,72.827,WR,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Dadar,19.018,72.844,WR/CR,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Andheri,19.119,72.846,WR,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
2026-06-25 05:30:30,Virar,19.455,72.811,WR,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,CSMT,18.94,72.835,CR,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Sion,19.043,72.862,CR-hotspot,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Kurla,19.065,72.879,CR-hotspot,,,,open-meteo-ERR
2026-06-25 05:30:30,Thane,19.186,72.975,CR,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Kalyan,19.243,73.13,CR,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-25T05:30,0.0,0.0,open-meteo
2026-06-25 05:30:30,Matunga,19.027,72.852,CR-hotspot,,,,open-meteo-ERR
2026-06-25 10:10:47,Churchgate,18.935,72.827,WR,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Dadar,19.018,72.844,WR/CR,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Andheri,19.119,72.846,WR,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Borivali,19.231,72.857,WR,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Virar,19.455,72.811,WR,,,,open-meteo-ERR
2026-06-25 10:10:47,CSMT,18.94,72.835,CR,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Sion,19.043,72.862,CR-hotspot,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Kurla,19.065,72.879,CR-hotspot,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Thane,19.186,72.975,CR,2026-06-25T10:00,0.1,0.1,open-meteo
2026-06-25 10:10:47,Kalyan,19.243,73.13,CR,2026-06-25T10:00,0.1,0.1,open-meteo
2026-06-25 10:10:47,Chunnabhatti,19.046,72.875,Harbour-hotspot,2026-06-25T10:00,0.0,0.0,open-meteo
2026-06-25 10:10:47,Matunga,19.027,72.852,CR-hotspot,,,,open-meteo-ERR
2026-06-25 13:48:05,Churchgate,18.935,72.827,WR,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Dadar,19.018,72.844,WR/CR,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Andheri,19.119,72.846,WR,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Borivali,19.231,72.857,WR,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Virar,19.455,72.811,WR,,,,open-meteo-ERR
2026-06-25 13:48:05,CSMT,18.94,72.835,CR,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Sion,19.043,72.862,CR-hotspot,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Kurla,19.065,72.879,CR-hotspot,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Thane,19.186,72.975,CR,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Kalyan,19.243,73.13,CR,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 13:48:05,Chunnabhatti,19.046,72.875,Harbour-hotspot,,,,open-meteo-ERR
2026-06-25 13:48:05,Matunga,19.027,72.852,CR-hotspot,2026-06-25T13:45,0.0,0.0,open-meteo
2026-06-25 16:42:17,Churchgate,18.935,72.827,WR,2026-06-25T16:30,0.1,0.1,open-meteo
2026-06-25 16:42:17,Dadar,19.018,72.844,WR/CR,2026-06-25T16:30,0.1,0.1,open-meteo
2026-06-25 16:42:17,Andheri,19.119,72.846,WR,2026-06-25T16:30,0.0,0.0,open-meteo
2026-06-25 16:42:17,Borivali,19.231,72.857,WR,,,,open-meteo-ERR
2026-06-25 16:42:17,Virar,19.455,72.811,WR,2026-06-25T16:30,0.1,0.1,open-meteo
2026-06-25 16:42:17,CSMT,18.94,72.835,CR,2026-06-25T16:30,0.1,0.1,open-meteo
2026-06-25 16:42:17,Sion,19.043,72.862,CR-hotspot,2026-06-25T16:30,0.1,0.1,open-meteo
2026-06-25 16:42:17,Kurla,19.065,72.879,CR-hotspot,2026-06-25T16:30,0.0,0.0,open-meteo
2026-06-25 16:42:17,Thane,19.186,72.975,CR,,,,open-meteo-ERR
